"Polska";"Austria";"Belgia";"Czechy";"Dania";"Finlandia";"Francja";"Niemcy";"Grecja";"Wegry";"Irlandia";"Wlochy";"Luksemburg";"Holandia";"Portugalia";"Slowacja";"Hiszpania";"Szwecja";"Wielka Brytania";"Estonia";"Slowenia";"Lotwa";"Litwa";"OECD"
-4.579439;-7.975853;-2.45401;-4.174757;-7.460434;-6.10231;-5.546982;-7.549826;-9.066323;-6.633126;-9.357079;-6.79129;-9.743128;-6.157964;-3.237963;-4.915426;-10.24727;-3.565212;-7.9;-9.473684;-7.779002;-4.600221;-12.67648;-10.14348
-5.136243;-7.574751;-1.625363;-2.643909;-5.078699;-5.082464;-5.782323;-7.683405;-5.244534;-5.601939;-7.879377;-5.282608;-10.29061;-6.802968;-2.893339;-2.741573;-13.09068;-2.257477;-5.7;-7.365275;-6.797734;-8.487972;-7.317066;-8.0006
-5.134942;-6.802721;0.3934923;-3.59736;-4.877264;-6.241915;-4.95453;-7.547751;-3.515282;-5.874092;-8.481447;-7.93623;-12.75219;-7.668903;-3.506446;-2.757901;-13.59573;-1.507909;-4.9;-6.980504;-6.380822;-9.818104;-8.886559;-7.583781
-4.052758;-4.094541;0.9945412;-3.274893;-4.43881;-4.952129;-2.125128;-5.485877;-1.638258;-5.076672;-7.02033;-5.51499;-8.886891;-6.183949;-2.636258;-3.393903;-8.733254;2.354088;-2.1;-3.911548;-4.432271;-7.123572;-8.058982;-5.759611
0.0244858;1.000345;3.119376;-0.6754475;0.6489135;1.650619;1.991875;-0.5512934;8.87362;1.700076;-1.098901;-2.741542;-1.650407;-1.622727;1.847207;-1.915767;1.606391;7.070085;3;2.791515;-0.8022121;-2.059557;-1.636539;0.9521542
5.744789;6.542056;12.34304;2.268821;3.856245;9.397163;10.04873;6.025646;13.41103;8.751754;7.567758;3.948334;7.199911;5.425401;6.623705;-3.897104;15.33579;8.26152;8.4;7.753148;6.850197;5.252588;4.189053;9.617962
3.046324;1.494612;8.072661;1.12975;0.3727772;5.174198;5.31394;2.307245;6.078686;2.701941;2.759796;6.12991;3.938482;2.552357;1.698171;-4.599111;7.931711;4.669931;5.8;4.876802;3.308297;3.664394;3.129252;5.515585
1.674581;0.5553627;5.727084;0.2051984;0.7266106;5.140674;3.789161;1.963096;4.384326;2.224098;1.571575;3.850331;2.558105;3.490775;2.359683;-3.357687;5.39398;6.049186;4.9;5.66636;2.320653;3.46583;4.915015;5.789769
3.48856466666667;2.86401023333333;6.962624;1.20125646666667;1.6518776;6.57067833333333;6.38394366666667;3.43199566666667;7.958014;4.55926433333333;3.96637633333333;4.64285833333333;4.56549933333333;3.82284433333333;3.56051966666667;-3.95130066666667;9.553827;6.326879;6.36666666666667;6.09877;4.15971566666667;4.127604;4.07777333333333;6.97443866666667
8.133087;0.08553259;-1.206259;-1.268116;2.47222;0.1190825;0.806275;-1.771275;1.887654;5.615884;1.876877;0.566394;0.8592159;-1.634663;0.3130823;6.075439;1.314208;-0.3627035;-2.2;-0.03272251;-13.16404;0.4871042;-3.010667;1.58823
9.25384;0.6167508;0.09530159;-0.7791017;3.281913;0.184734;1.7337;-1.308195;1.722354;6.024029;2.074842;1.255099;1.39259;-1.186722;0.6920242;6.190061;1.216747;-0.2739405;-1.5;0.8881579;-14.24764;0.4890589;-2.860308;1.992718
12.3696;1.781011;2.450436;2.010285;2.412609;1.963966;3.054584;-0.1572327;2.417936;12.40562;3.92302;1.960164;2.529115;0.9384908;3.205783;3.734322;2.718464;0.4067265;0.7;4.144385;-13.99276;1.567865;-1.675994;2.899309
9.12642;0.1234261;2.160261;4.102564;2.003743;2.025235;3.220711;0.5150555;1.547158;12.64263;4.558932;2.459792;3.378764;2.271195;4.264595;5.022447;2.972862;0.2519713;1.1;4.664241;-13.97081;0.08239843;-2.203578;2.82947
6.495727;2.240136;2.977946;4.082569;3.372759;3.13811;4.003478;2.195218;1.910202;15.0818;5.60059;3.347935;3.827223;4.9939;6.870497;4.332414;4.650502;0.6318625;2.3;6.513912;5.48926;1.050277;0.5475831;3.666835
7.1309;3.930903;4.992803;7.251732;4.464797;4.169992;6.168441;5.341131;4.62689;17.75088;7.441016;3.997521;4.755498;8.037289;7.788073;7.741965;6.266704;2.826253;5.7;9.390284;9.542246;4.860548;4.3352;4.87004
3.050398;3.699425;5.083108;6.095325;4.129107;5.102414;6.434984;5.472441;6.238295;12.06897;6.730769;4.620155;5.212008;8.317628;6.329288;8.047512;6.668323;3.454219;3.7;9.563543;11.07325;6.461696;4.096722;4.735363
2.050114;4.708226;5.435783;2.910882;3.451264;5.29596;5.441251;4.808829;7.79082;10.03282;6.345268;4.462912;5.264287;6.810597;4.925973;4.270769;6.01821;4.571395;3.4;7.648546;10.38548;7.029766;5.241963;4.880996
2.568218;3.533225;5.577943;3.525782;3.390577;6.469248;5.696732;4.794783;9.857121;7.863172;5.303559;4.511051;5.12353;6.631672;3.175647;4.296491;5.067782;6.359827;3.5;8.236017;11.5223;8.124231;5.331871;4.67505
-0.5;0.8325328;1.861087;-0.6890612;1.722653;3.42527;2.474427;0.3700962;4.686154;5.481799;3.04054;3.843862;4.27381;2.992848;1.150772;1.95325;5.052191;3.238571;-0.3;5.305514;8.076923;3.617756;-0.5955698;2.843417
-2.380952;0.483871;1.181207;-5.313175;1.729356;1.187618;1.356096;-0.7465472;3.972536;1.794872;2.635969;2.963841;3.462376;2.509376;0.412586;-0.6732927;4.809027;2.602765;0;-0.1757469;5.419223;0.8388256;-2.894435;2.001623
-2.327806;0.7350591;0.944757;-5.221932;1.912212;0.5412591;1.491695;-0.9402031;2.939536;2.30081;2.9;3.270477;2.81362;1.114797;1.402947;0.2906977;4.917095;0.8977803;0.1;-1.027598;5.268485;1.313609;-4.529613;1.629498
-3.693271;0.5009392;0.8698905;-6.087697;1.405451;-0.5623816;1.083475;-2.013177;2.312146;1.482702;2.48509;2.433372;2.234556;-0.3043854;1.620908;1.981132;4.585154;-0.290336;-0.6;-3.094832;3.613003;0.7621865;-6.671895;1.362621
-2.418342;1.746586;1.908888;-3.772767;1.524132;0.2067965;1.984612;-0.5162242;8.290858;0.1624036;1.737705;2.496413;1.864582;1.607669;2.192578;2.418342;3.595842;-0.2006448;1;-2.85876;4.49649;3.129666;-3.314459;2.029132
-0.1318392;2.182986;3.138604;-1.04927;1.444964;0.7397927;3.237367;0.5641218;6.060842;0.9655752;1.202861;3.626943;1.63487;1.999095;2.71013;3.970304;4.023448;0.754916;1.8;-0.4401408;5.42677;4.016637;-2.853388;2.62353
1.469148;2.664975;2.298593;2.571166;1.321962;2.055786;2.82037;1.442673;3.315409;3.206997;0.3239391;4.079886;1.997224;1.140655;2.723031;5.217391;4.19413;1.024312;2.6;-0.3856422;4.326923;2.534751;-1.749557;3.293292
2.534937;2.149533;1.942763;4.351768;-0.3359933;1.005102;1.517819;0.4856182;3.347592;4.910714;-0.03233107;3.902715;2.394956;-1.3268;1.578998;5.73543;4.021651;0.1358846;2.3;0.2929974;3.086103;4.013548;-1.195714;3.008022
5.600257;2.434457;1.748936;3.695358;-1.000834;0.6283497;1.508821;-0.2594514;-0.718476;6.32347;-0.2900419;3.107503;2.184732;-3.394741;1.820398;4.56915;4.633071;0.1816367;1;3.642191;1.65217;5.724149;0.7438642;2.8664
8.448845;2.073516;0.32543;4.379899;-1.256808;1.242525;-0.5322842;-0.5609574;-1.303468;7.692307;-0.5782204;1.777778;1.879931;-4.884994;1.232343;6.05402;3.765169;-0.8869913;-0.2;6.130268;-0.7038042;10.21935;5.02165;2.634671
7.368083;1.019778;1.03198;1.253357;-1.473064;0.2313601;-0.5331479;-1.010479;0.7727349;3.954802;-0.1614466;-0.05482456;0.8749028;-4.232046;-0.1419305;2.877257;3.070147;-1.167887;-0.4;6.759976;-1.894009;9.734564;4.429426;2.326285
